row,subj,time,trial,stimulus,guess
270,53,1476467630092,4,OBOOOBBB,OOBOBOBB
271,54,1476467667730,0,BBBOBBOB,BBBBOBBB
272,54,1476467697253,1,OOOBBBBB,BOOOOBOB
273,54,1476467747777,2,BOBBOBOB,OOOOBBOO
274,54,1476467786561,3,BBBBOOOO,OOOBOBBO
275,54,1476467846744,4,OBOOBOBB,BBBBOBOB
276,55,1476467856507,0,OOBBBBOB,OBOOOOBO
277,55,1476468001019,1,OBBBBOBB,OOOBBOOB
278,55,1476468108025,2,OBBBBOOB,OOBBBOBB
279,55,1476468179358,3,OOOBOBOO,OOBBBBOB
280,55,1476468288114,4,BBBBOBBB,BBBOOOOB
281,56,1476467990104,0,BBOOBOBB,OBBBOBOB
282,56,1476468032596,1,OBOOBOOB,BOOOOBBO
283,56,1476468054478,2,OBOOOOOO,BBBBBBBO
284,56,1476468106689,3,BOOBOBOB,BOBOBOBB
285,56,1476468135323,4,BBBBBOBO,BOBBBBBB
286,57,1476467846045,0,BOBBOBBO,OBOOBOOO
287,57,1476467882725,1,BBBOBOOB,OBOOOBBO
288,57,1476467902703,2,BBOOOOOO,OBOOBOOO
289,57,1476467989062,3,BOOOBOBB,OOBBOOOO
290,57,1476468007758,4,OOBBBBBB,OBOBBOOB
291,58,1476468068954,0,BBBBOBBB,OBBOBOBB
292,58,1476468096589,1,BBBBOBOB,BBBBOBBB
293,58,1476468128748,2,BOOBBOBO,OBBBBOOO
294,58,1476468155062,3,BBBOBBOB,BBBBBBBO
295,58,1476468182030,4,BOBOOOBB,BBOBOBBB
296,59,1476468130794,0,BOOBOBOO,BBBBBBOO
297,59,1476468154225,1,BOBBOBOO,BOOBOBOO
298,59,1476468172507,2,OOBBBBOB,OBOOBOBO
299,59,1476468189983,3,OBBOBBBB,OBBOOBBO
300,59,1476468208635,4,BBOBOOBO,OOOBOBOB
301,60,1476469090669,0,OOBOOOBB,OBOOOBOO
302,60,1476469119755,1,OBBBBBOB,BOOBBOBO
303,60,1476469152275,2,BOBOOBBB,OOOBBOBO
304,60,1476469189824,3,OOBOOBOB,OOBOBOOO
305,60,1476469215022,4,BBBBOBOB,BOBOBBOO
306,61,1476469065005,0,OOOBBBBB,OBOBBBOB
307,61,1476469073493,1,OOBBOBBO,OOOBOBBO
308,61,1476469081157,2,BBBOOBOO,OOOOBBBB
309,61,1476469088765,3,OOOBOBBB,OBBBOBBO
310,61,1476469099421,4,OBOOBBBB,OBOBOBBB
311,62,1476469351687,0,BOOBBOOO,BOBBOBBO
312,62,1476469362935,1,BOBOOBBO,BOBOBOBB
313,62,1476469372183,2,BBBOBOOB,BOBBOOBO
314,62,1476469380113,3,OBBBOBOO,BOOBOBOB
315,62,1476469393121,4,BBOBBOBO,BOBOOOOB
316,63,1476469407210,0,OBBBOOOB,OOOBBBBB
317,63,1476469417050,1,BBBBOOOO,OBBBBBBB
318,63,1476469425897,2,BBOBBOOB,BBBBBBBB
319,63,1476469436449,3,OOBOOBOO,BBBBBBBB
320,63,1476469454809,4,OOOOOBOO,BBBBBBBB
321,64,1476469459574,0,OBOOOOOO,BBBBBBOO
322,64,1476469481879,1,OOOBOOBO,BOOOOOOO
323,64,1476469503063,2,BBOOOOBB,OBOOBBOO
324,64,1476469522030,3,OOOOBOBB,BOOBOBOB
325,64,1476469538942,4,OOBOBBBB,BOOOOOBB
326,65,1476469534930,0,OBBOBBBB,BOOBBBOB
327,65,1476469564690,1,OOOBOOOO,BBOOBOOO
328,65,1476469600815,2,BOBOBOBO,OOOBOOBO
329,65,1476469628649,3,BOOBOBBB,BOBOBOBO
330,65,1476469650693,4,OOBOOBBO,OOBOOOOB
331,66,1476469706789,0,OBBOBOBO,BOOBBBOB
332,66,1476469732534,1,OBBOBBOB,BOBBOBBO
