binli@binli-HP-Z420-Workstation:~/Desktop/BinCalGitDir/Fleet/Models/KidAlgo$ ./main --alphabet=BRG --data=/RB,GB/\;/RB,GB/,/RB,GB/\;/RB,GB/,/RB,GB/,/RB,GB/ --threads=4 --top=10000 --time=1h
-32.4478	",B/,B/B,B/RB//B,B/RB//,/RB,GBGBGB/B,B/RB//,/RB,"
-31.0616	",B/,B/B,B/RB//B,B/RB//B,B/RB//,/RB,GB/,/RB,"
-31.7547	",B/,B/B,B/RB//B,B/RB//B,B/RB//,/RB,GB/,/RB,GB"
-32.4478	",B/,B/B,B/RB//B,B/RB//B,B/RB//,/RB,GB/,/RB,GBGB"
-31.7547	",B/,B/B,B/RB//B,B/RB//B,B/RB//,/RB,GBGB/,/RB,"
-32.4478	",B/,B/B,B/RB//B,B/RB//B,B/RB//,/RB,GBGB/,/RB,GB"
-32.4478	",B/,B/B,B/RB//B,B/RB//B,B/RB//,/RB,GBGBGB/,/RB,"
-35.5763	",B/,B/B,B/RBB/,/RB,GB/B,B/RBB/B,B/RBB/,/RB,"
-36.2695	",B/,B/B,B/RBB/,/RB,GB/B,B/RBB/B,B/RBB/,/RB,GB"
-36.9626	",B/,B/B,B/RBB/,/RB,GB/B,B/RBB/B,B/RBB/,/RB,GBGB"
-36.2695	",B/,B/B,B/RBB/,/RB,GBGB/B,B/RBB/B,B/RBB/,/RB,"
-36.9626	",B/,B/B,B/RBB/,/RB,GBGB/B,B/RBB/B,B/RBB/,/RB,GB"
-36.9626	",B/,B/B,B/RBB/,/RB,GBGBGB/B,B/RBB/B,B/RBB/,/RB,"
-37.6558	",B/,B/B,B/RBB/,/RB,GBGBGBGB/B,B/RBB/B,B/RBB/,/RB,"
-35.5763	",B/,B/B,B/RBB/B,B/RBB/,/RB,GB/B,B/RBB/,/RB,"
-36.2695	",B/,B/B,B/RBB/B,B/RBB/,/RB,GB/B,B/RBB/,/RB,GB"
-36.9626	",B/,B/B,B/RBB/B,B/RBB/,/RB,GB/B,B/RBB/,/RB,GBGB"
-36.2695	",B/,B/B,B/RBB/B,B/RBB/,/RB,GBGB/B,B/RBB/,/RB,"
-36.9626	",B/,B/B,B/RBB/B,B/RBB/,/RB,GBGB/B,B/RBB/,/RB,GB"
-37.6558	",B/,B/B,B/RBB/B,B/RBB/,/RB,GBGB/B,B/RBB/,/RB,GBGB"
-36.9626	",B/,B/B,B/RBB/B,B/RBB/,/RB,GBGBGB/B,B/RBB/,/RB,"
-35.5763	",B/,B/B,B/RBB/B,B/RBB/B,B/RBB/,/RB,GB/,/RB,"
-36.2695	",B/,B/B,B/RBB/B,B/RBB/B,B/RBB/,/RB,GB/,/RB,GB"
