binli@binli-HP-Z420-Workstation:~/Desktop/BinCalGitDir/KidAlgo/Fleet/Models/KidAlgo$ ./main --alphabet=BRG --data=G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR --threads=4 --top=10000 --time=2h
-10.2848  "G/,R,G/,R,G/,R,G/,R,G/,R"
-11.761 "G/,R,G/,R,G/,R,G/,R,G/,RR"
-14.3986  "G/,R,R,R,R,R,R,R,R,R"
-10.3163  "G/,R/,R/,R/,R/,R/,R/,R/,R/,R"
-14.7222  "G/,R/,R/,R/,R/,R/,R/,R/,R/,R/"
-14.3961  "G/,R/G/,R/G/,R/G/,R/G/,R/G/,R/G/,R/G/,R/G/,R/"
-13.557 "G/,RG/,RG/,RG/,RG/,RG/,RG/,RG/,RG/,R"
-12.3692  "G/,RG/,RG/,RG/,RG/,RG/,RG/,RG/,RG/,RR"
-11.4898  "G/,RR,/,RR,/,RR,/,RR,/,RR"
-11.5072  "G/,RR,G/,RR,G/,RR,G/,RR,G/,R"
-9.06462  "G/,RR,G/,RR,G/,RR,G/,RR,G/,RR"
-14.3492  "G/,RR,RR,RR,RR,RR,RR,RR,RR,RR"
-12.3692  "G/,RR/,RR/,RR/,RR/,RR/,RR/,RR/,RR/,RR"
-12.9274  "G/,RRG/,RRG/,RRG/,RRG/,RRG/,RRG/,RRG/,RRG/,RR"
-15.8121  "G//,G//,G//,G//,G//,G//,G//,G//,G//,G//R"
-14.2274  "G//,G//,G//,G//,G//,G//,G//,G//,G//,R"
-14.6303  "G//,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R"
-13.2141  "G//,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,R"
-13.9518  "G//R,//R,//R,//R,//R,//R,//R,//R,//R,"
-15.1735  "G//R,//R,//R,//R,//R,//R,//R,//R,//R,//R"
-11.3149  "G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//R,"
-13.617 "G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//R"
-14.8701  "G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//RR"
-12.5912  "G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//R,R"
-15.5392  "G//R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R"
-13.7851  "G//R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,R"
-14.5508  "G//R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G"
