binli@binli-HP-Z420-Workstation:~/Desktop/BinCalGitDir/Fleet/Models/KidAlgo$ ./main --alphabet=BRG --data=G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR --threads=4 --top=10000 --time=1h
-15.5857	"G/,/RRR,G/,/RRR,G/,/RR,G/,/RRR,G/,/RR"
-15.5857	"G/,/RRR,G/,/RRR,G/,/RRR,G/,/RR,G/,/RR"
-15.5857	"G/,/RRR,G/,/RRR,G/,/RRR,G/,/RRR,G/,/RR"
-13.794	"R/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR"
# Global sample count:	21206916
# Elapsed time:	3601.01 seconds 
# Samples per second:	5889.16
binli@binli-HP-Z420-Workstation:~/Desktop/BinCalGitDir/Fleet/Models/KidAlgo$ ^C
binli@binli-HP-Z420-Workstation:~/Desktop/BinCalGitDir/Fleet/Models/KidAlgo$ ^C
binli@binli-HP-Z420-Workstation:~/Desktop/BinCalGitDir/Fleet/Models/KidAlgo$ 
