binli@binli-HP-Z420-Workstation:~/Desktop/BinCalGitDir/KidAlgo/Fleet/Models/KidAlgo$ ./main --alphabet=BRG --data=R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G --threads=4 --top=10000 --time=2h
-13.7012	"R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,"
-11.6546	"R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-12.0956	"R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,G"
-14.4474	"R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R"
-16.0471	"R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/"
-16.1405	"R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R//G"
-12.5012	"R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G"
-17.1007	"R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/R"
-16.2295	"R/G/,R/G/,R/G/,R/G/,R/G/,R/G/,R/G/,R/G/,R/G/,R/G/G"
-16.4109	"R/G/,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G"
-16.3078	"R/G/G,/G/G,/G/G,/G/G,/G/G,/G/G,/G/G,/G/G,/G/G,/G/G"
-16.3526	"R/G/G,G/G/G,G/G/G,G/G/G,G/G/G,G/G/G,G/G/G,G/G/G,G/G/G,//G"
-15.9781	"R/G/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-14.7434	"R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,"
-16.4109	"R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,/G/G"
-14.5776	"R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R//G"
-16.4109	"R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/"
-13.0193	"R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G"
-14.4166	"R/R,/G/R,/G/R,/G/R,/G/R,/G/R,/G/R,/G/R,/G/R,/G"
-14.1721	"R/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/,G"
-13.9746	"R/R,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-14.0524	"R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/,"
-16.6746	"R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,/"
-15.5983	"R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,G"
-17.0233	"R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/G"
-17.11	"R/R/,R/,R/,R/,R/,R/,R/,R/,R/,G"
-16.3078	"R/R/,R/R/,R/R/,R/R/,R/R/,R/R/,R/R/,R/R/,R/R/,R/R/G"
-16.4109	"R/R/,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G"
